id,alertId,alertDate,peril,assetCity,assetProvinceState
68952,"677d7be2-79c9-4de8-b07a-b90954a0e28c",2019-07-05T22:24:21.731Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
82723,"8bc5c764-9be4-4297-8bbe-0930b5a0b5f6",2019-07-05T22:21:20.917Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
88424,"49345191-7a79-4dca-8241-e3393a85c805",2019-07-05T22:06:19.022Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
57799,"e0fe0d9f-132d-47da-a4c3-2015fb197de0",2019-07-05T21:54:21.339Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
57783,"e0fe0d9f-132d-47da-a4c3-2015fb197de0",2019-07-05T21:54:21.339Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
82219,"00243564-2741-47d9-bb79-d7c7d9b6d5fc",2019-07-05T21:44:36.682Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
81027,"ae699c47-5911-4aaf-84d1-ded54b0cdfe0",2019-07-05T21:39:48.347Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
82721,"c34a174b-d903-4609-9433-a534402f45d0",2019-07-05T20:24:25.289Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
43749,"af1f2a49-9b30-4f9c-bd1f-ebb3c5abc979",2019-07-05T17:19:57.671Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
68938,"e1a4ec36-ec4c-4413-871a-5160d10e3cf5",2019-07-05T08:14:17.052Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
68941,"570e1c73-36af-4e13-827a-bebc0ddff772",2019-07-05T08:05:23.947Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
69163,"8cbde373-4d45-4adb-af74-e19e4ee3ca54",2019-07-05T07:05:05.269Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
68923,"f4546494-8c87-42ea-9b47-0874c2aafde4",2019-07-05T06:39:19.665Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
68959,"2d067ace-db87-4c9d-8311-df79fbcb8689",2019-07-05T06:39:19.665Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
69165,"c04389a1-265f-44fc-a16b-7cf253f04fd3",2019-07-05T06:19:47.051Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
82219,"cce3d704-7802-416b-acc8-e78d2cb11798",2019-07-05T05:14:36.392Z,"HAIL_ZONE_30MIN_GTE1.00_IN",,
